from_district,to_district,distance_km_estimated
GADAG,DAVANGERE,112.16
GADAG,DHARWAD,65.69
GADAG,GADAG,0.0
GADAG,HASSAN,274.38
GADAG,HAVERI,74.43
GADAG,KALABURAGI,247.0
GADAG,KODAGU,334.46
GADAG,KOLAR,371.73
GADAG,KOPPAL,58.02
GADAG,MANDYA,351.42
GADAG,MYSURU,365.47
GADAG,RAICHUR,203.9
GADAG,RAMANAGARA,351.02
GADAG,SHIVAMOGGA,166.9
GADAG,TUMAKURU,283.06
GADAG,UDUPI,250.8
GADAG,UTTAR KANNAD,174.68
GADAG,VIJAYAPURA,155.99
GADAG,YADGIR,219.92
GADAG,VIJAYANAGAR,84.58
HASSAN,BAGALKOT,355.83
HASSAN,BALLARI,253.13
HASSAN,BELAGAVI,360.15
HASSAN,BENGALURU (RURAL),175.25
HASSAN,BENGALURU (URBAN),161.94
HASSAN,BIDAR,566.07
HASSAN,CHAMARAJNAGAR,151.43
HASSAN,CHIKBALLAPUR,182.88
HASSAN,CHIKKAMAGALURU,49.47
HASSAN,CHITRADURGA,139.23
HASSAN,DAKSHIN KANNAD,135.24
HASSAN,DAVANGERE,163.22
HASSAN,DHARWAD,297.0
HASSAN,GADAG,274.38
HASSAN,HASSAN,0.0
HASSAN,HAVERI,212.45
HASSAN,KALABURAGI,486.85
HASSAN,KODAGU,75.75
HASSAN,KOLAR,220.24
HASSAN,KOPPAL,260.66
HASSAN,MANDYA,101.67
HASSAN,MYSURU,98.34
HASSAN,RAICHUR,380.68
HASSAN,RAMANAGARA,132.11
HASSAN,SHIVAMOGGA,117.68
HASSAN,TUMAKURU,116.09
HASSAN,UDUPI,151.68
HASSAN,UTTAR KANNAD,291.72
HASSAN,VIJAYAPURA,427.21
HASSAN,YADGIR,432.6
HASSAN,VIJAYANAGAR,253.48
HAVERI,BAGALKOT,157.71
HAVERI,BALLARI,167.46
HAVERI,BELAGAVI,152.42
HAVERI,BENGALURU (RURAL),305.25
HAVERI,BENGALURU (URBAN),311.39
HAVERI,BIDAR,413.56
HAVERI,CHAMARAJNAGAR,360.16
HAVERI,CHIKBALLAPUR,292.92
HAVERI,CHIKKAMAGALURU,169.05
HAVERI,CHITRADURGA,124.29
HAVERI,DAKSHIN KANNAD,217.24
HAVERI,DAVANGERE,66.67
HAVERI,DHARWAD,85.31
HAVERI,GADAG,74.43
HAVERI,HASSAN,212.45
HAVERI,HAVERI,0.0
HAVERI,KALABURAGI,319.99
HAVERI,KODAGU,265.95
HAVERI,KOLAR,347.08
HAVERI,KOPPAL,101.62
HAVERI,MANDYA,299.63
HAVERI,MYSURU,308.2
HAVERI,RAICHUR,260.89
HAVERI,RAMANAGARA,307.45
HAVERI,SHIVAMOGGA,97.68
HAVERI,TUMAKURU,245.67
HAVERI,UDUPI,176.64
HAVERI,UTTAR KANNAD,137.11
HAVERI,VIJAYAPURA,228.78
HAVERI,YADGIR,287.23
HAVERI,VIJAYANAGAR,118.41
KALABURAGI,BAGALKOT,174.56
KALABURAGI,BALLARI,243.79
KALABURAGI,BELAGAVI,297.19
KALABURAGI,BENGALURU (RURAL),469.09
KALABURAGI,BENGALURU (URBAN),491.67
KALABURAGI,BIDAR,98.34
KALABURAGI,CHAMARAJNAGAR,601.48
KALABURAGI,CHIKBALLAPUR,443.9
